,CB_ID,CSR_Num,DateCreate,Block,Lot,status,servicerequestnum,srstatus,createddate
1801,,,,,,,20-00054989,Pending,2020-01-29T16:33:34.000
1802,,,,,,,20-00063243,Pending,2020-02-03T14:13:26.000
1803,,,,,,,20-00031271,Pending,2020-01-16T14:38:38.000
1804,,,,,,,19-00888572,Pending,2019-12-23T10:33:39.000
1805,,,,,,,19-00878873,Pending,2019-12-17T09:23:28.000
1806,,,,,,,19-00489982,Pending,2019-08-16T01:50:20.000
1807,,,,,,,19-00475163,Pending,2019-08-14T15:44:53.000
1808,,,,,,,19-00474759,Pending,2019-08-14T15:23:32.000
1809,,,,,,,19-00474376,Pending,2019-08-14T14:59:06.000
1810,,,,,,,19-00474342,Pending,2019-08-14T14:56:58.000
1811,,,,,,,19-00473487,Pending,2019-08-14T14:01:18.000
1812,,,,,,,20-00037681,Pending,2020-01-21T10:08:59.000
1813,,,,,,,19-00661549,Closed,2019-07-01T10:54:00.000
1814,,,,,,,19-00737530,Closed,2019-11-01T12:18:07.000
1815,,,,,,,18-00447985,Closed,2018-06-20T05:10:02.000
1816,,,,,,,19-00234364,Closed,2019-04-25T07:20:07.000
1817,,,,,,,19-00080823,Closed,2019-02-12T08:15:23.000
1818,,,,,,,19-00880364,Closed,2019-12-17T16:18:25.000
1819,,,,,,,19-00813602,Closed,2019-11-13T11:13:50.000
1820,,,,,,,18-00700327,Closed,2018-09-09T10:03:15.000
1821,,,,,,,20-00030374,Closed,2020-01-16T10:48:29.000
1822,,,,,,,19-00695034,Pending,2019-10-11T15:48:28.000
1823,,,,,,,19-00586859,Pending,2019-09-14T16:28:11.000
1824,,,,,,,19-00652057,Pending,2019-05-15T14:50:21.000
1825,,,,,,,19-00655858,Pending,2019-05-10T10:01:58.000
1826,,,,,,,19-00655756,Pending,2019-05-09T16:20:12.000
1827,,,,,,,19-00666331,Pending,2019-09-27T16:28:10.000
1828,,,,,,,19-00659355,Pending,2019-05-24T14:35:00.000
1829,,,,,,,19-00658705,Pending,2019-05-21T14:19:00.000
1830,,,,,,,20-00012621,Pending,2020-01-08T07:48:26.000
1831,,,,,,,19-00895637,Pending,2019-12-27T14:48:19.000
1832,,,,,,,20-00002145,Pending,2020-01-02T11:53:11.000
1833,,,,,,,20-00054525,Pending,2020-01-29T13:48:56.000
1834,,,,,,,19-00006890,Pending,2019-01-04T10:06:09.000
1835,,,,,,,18-00849884,Pending,2018-11-19T10:46:00.000
1836,,,,,,,18-00406452,Pending,2018-06-05T07:22:33.000
1837,,,,,,,18-00406447,Pending,2018-06-05T07:22:28.000
1838,,,,,,,20-00033820,Pending,2020-01-17T16:23:23.000
1839,,,,,,,19-00653010,Pending,2019-07-05T17:28:00.000
1840,,,,,,,19-00666301,Pending,2019-09-27T16:18:26.000
1841,,,,,,,20-00009248,Open,2020-01-06T14:38:48.000
1842,,,,,,,19-00556528,Pending,2019-09-09T20:21:10.000
1843,,,,,,,19-00661492,Pending,2019-05-24T12:04:00.000
1844,,,,,,,19-00661992,Pending,2019-05-24T12:06:00.000
1845,,,,,,,19-00653009,Pending,2019-05-20T15:33:00.000
1846,,,,,,,19-00652650,Pending,2019-05-11T09:35:53.000
1847,,,,,,,19-00619992,Open,2019-08-15T12:09:13.000
1848,,,,,,,19-00622528,Open,2019-08-15T19:39:04.000
1849,,,,,,,19-00559193,Open,2019-09-10T14:55:06.000
1850,,,,,,,19-00557882,Open,2019-09-10T09:35:15.000
1851,,,,,,,19-00558114,Open,2019-09-10T10:20:13.000
1852,,,,,,,19-00558426,Open,2019-09-10T11:15:17.000
1853,,,,,,,19-00559244,Open,2019-09-10T15:05:11.000
1854,,,,,,,19-00557033,Open,2019-09-10T07:35:18.000
1855,,,,,,,19-00558588,Open,2019-09-10T11:50:14.000
1856,,,,,,,19-00558619,Open,2019-09-10T12:00:22.000
1857,,,,,,,19-00554902,Open,2019-09-09T13:49:59.000
1858,,,,,,,19-00554773,Open,2019-09-09T13:20:04.000
1859,,,,,,,19-00554648,Open,2019-09-09T12:55:01.000
1860,,,,,,,19-00558093,Open,2019-09-10T10:15:24.000
1861,,,,,,,19-00558873,Open,2019-09-10T13:19:15.000
1862,,,,,,,19-00555042,Open,2019-09-09T14:05:02.000
1863,,,,,,,19-00554766,Open,2019-09-09T13:19:00.000
1864,,,,,,,19-00555036,Pending,2019-09-09T14:04:14.000
1865,,,,,,,19-00554689,Open,2019-09-09T13:05:02.000
1866,,,,,,,19-00554738,Open,2019-09-09T13:15:02.000
1867,,,,,,,19-00555158,Open,2019-09-09T14:25:05.000
1868,,,,,,,19-00554957,Open,2019-09-09T13:55:09.000
