,srid,Created Date,Block_Number_c,sr status,CB_ID,CSR_Num,DateCreate,Block,Lot,status
1764,,,,,C1091945-2,19-00478183,2019-05-20 16:04:00,0719A,080,PENDING
1765,,,,,C319425-14,19-00489604,2019-05-22 09:24:00,7470C,022,PENDING
1766,,,,,C1783454-1,19-00489370,2019-05-23 14:42:00,3347F,041,PENDING
1767,,,,,C658549-13,19-00488812,2019-05-29 15:26:00,0221,052,PENDING
1768,,,,,C1733524-1,19-00488656,2019-05-30 07:24:00,7800,016,PENDING
1769,,,,,C1733523-1,19-00488653,2019-05-30 07:26:00,7800,015,PENDING
1770,,,,,C845060-6,19-00488269,2019-05-31 10:01:00,8186,017,PENDING
1771,,,,,C845059-9,19-00488267,2019-05-31 10:08:00,8186,018,PENDING
1772,,,,,C1091953-1,19-00478184,2019-05-31 14:51:00,0719A,081,PENDING
1773,,,,,C1660394-4,19-00488195,2019-05-31 14:56:00,0719A,092,PENDING
1774,,,,,C845057-7,19-00488189,2019-05-31 15:08:00,8186,019A,PENDING
1775,,,,,C1594727-2,19-00487733,2019-06-04 16:16:00,7612N,010,PENDING
1776,,,,,C359708-9,19-00487375,2019-06-06 16:08:00,2178,030B,PENDING
1777,,,,,C1037376-5,19-00477973,2019-06-07 12:59:00,7187,002,PENDING
1778,,,,,C1082188-5,19-00478163,2019-06-07 13:02:00,7223,016,PENDING
1779,,,,,C1663046-2,19-00487221,2019-06-07 13:08:00,7200,001,PENDING
1780,,,,,C1783036-1,19-00487048,2019-06-10 09:35:00,2445,030,PENDING
1781,,,,,C1472372-4,19-00487018,2019-06-10 14:09:00,2299A,036,PENDING
1782,,,,,C1400130-1,19-00486995,2019-06-10 15:12:00,2299B,034,PENDING
1783,,,,,C1733522-1,19-00482889,2019-06-19 15:00:00,7800,014,PENDING
1784,,,,,C1782450-1,19-00481781,2019-06-21 15:07:00,2485,033,PENDING
1785,,,,,C198658-17,19-00480855,2019-06-25 16:14:00,8146,094,PENDING
1786,,,,,C982890-9,19-00479533,2019-07-11 09:03:00,2506A,055,PENDING
1787,,,,,C1241646-4,19-00478511,2019-07-16 14:09:00,2487,085,PENDING
1788,,,,,C342038-25,19-00479014,2019-07-17 12:47:00,2177,077,NEW
1789,,,,,C505485-20,19-00479013,2019-07-17 12:51:00,2177,076,NEW
1790,,,,,C1786313-1,19-00478976,2019-07-17 15:35:00,2152,004B,PENDING
1791,,,,,C570889-12,19-00478974,2019-07-17 15:39:00,0221,051,PENDING
1792,,,,,C233693-21,19-00477379,2019-07-24 10:01:00,0221,018,NEW
1793,,,,,C1801714-1,19-00476646,2019-07-26 16:00:00,2530D,048,NEW
1794,,,,,C1019296-17,19-00527718,2019-08-27 12:57:00,2454C,001,PENDING
1795,,,,,C139675-14,19-00554750,2019-08-30 16:33:00,4624,034,NEW
1796,,,,,C1293410-5,19-00555504,2019-09-05 09:29:00,1012,062,PENDING
1797,,,,,C1720731-1,19-00596844,2019-09-19 09:55:00,3112,001,PENDING
1798,,,,,C1117482-11,19-00647045,2019-09-26 09:36:00,3824,038,NEW
1799,,,,,C1226822-6,19-00671706,2019-10-01 10:06:00,3185,086,PENDING
1800,,,,,C1716253-2,19-00680661,2019-10-04 15:59:00,3575,087,PENDING
1801,,,,,C1070170-5,19-00684593,2019-10-07 14:06:00,7472,039,PENDING
1802,,,,,C305552-6,19-00684923,2019-10-07 15:31:00,3350I,044,PENDING
1803,,,,,C628258-18,19-00685067,2019-10-07 16:12:00,4744,035,PENDING
1804,,,,,C257934-17,19-00687317,2019-10-08 15:14:00,3347,040,PENDING
1805,,,,,C1830261-1,19-00688267,2019-10-09 09:05:00,2748D,026A,PENDING
1806,,,,,C1467756-6,19-00690506,2019-10-10 08:24:00,2299E,047,NEW
1807,,,,,C1842347-1,19-00691963,2019-10-10 13:30:00,2487,121,NEW
1808,,,,,C1656576-4,19-00692117,2019-10-10 14:23:00,3561,035,PENDING
1809,,,,,C645020-14,19-00735288,2019-10-31 14:31:00,2164,004C,NEW
1810,,,,,C611181-7,19-00737617,2019-11-01 12:47:00,4778G,022,PENDING
1811,,,,,C686190-20,19-00804621,2019-11-07 16:22:00,7805C,001,NEW
1812,,,,,C1841636-2,19-00831020,2019-11-21 10:50:00,3043,056,PENDING
1813,,,,,C1472918-6,19-00844133,2019-11-29 08:51:00,0276,096,NEW
1814,,,,,C1800578-2,19-00845514,2019-11-29 14:42:00,3357,006,PENDING
1815,,,,,C1675073-2,19-00854450,2019-12-04 14:36:00,4916D,027A,PENDING
1816,,,,,C1820940-1,19-00880092,2019-12-17 15:22:00,2164,001A,NEW
1817,,,,,C169049-53,19-00898773,2019-12-30 11:42:00,2284,048,NEW
1818,,,,,C682229-5,19-00899975,2019-12-30 16:24:00,0280,086,NEW
1819,,,,,C1263263-4,20-00009278,2020-01-06 14:35:00,0253,064,NEW
1820,,,,,C1360988-6,20-00024455,2020-01-14 08:52:00,2145B,014,NEW
1821,,,,,C618592-16,20-00029994,2020-01-16 09:31:00,2394,049,NEW
1822,,,,,C188084-9,20-00030025,2020-01-16 09:37:00,2388,036,NEW
1823,,,,,C1781824-2,20-00031459,2020-01-16 15:14:00,2812,021,NEW
1824,,,,,C1428255-7,20-00059015,2020-01-31 12:37:00,5212,001B,NEW
1825,,,,,C1676341-3,20-00059056,2020-01-31 12:53:00,2213A,048,NEW
1826,,,,,C1635164-1,20-00063797,2020-02-03 16:41:00,3523,078,PENDING
1827,,,,,C970678-15,20-00069097,2020-02-05 15:38:00,3190,045,NEW
1828,,,,,C1137230-3,20-00073273,2020-02-07 10:17:00,3100A,001,NEW
1829,,,,,C252068-4,20-00073328,2020-02-07 10:38:00,3327C,079,NEW
